랜덤,문제,출처,정답,답안,,,,
0.6544408595,"하갈과 이스마엘이 아브라함에게 추방되어 집에서 나간 후에 방황하게 되었던 장소는 어디였습니까? (창21:14)
 ① 네게브 광야                ② 브엘세바 광야
 ③ 바란 광야                   ④ 아라비아 광야",창,2,,FALSE,,0,
0.7031052853,"""이스라엘은 이제 말하기를 그들이 내가 어릴 때부터 여러 번 나를 괴롭혔도다 그들이 내가 어릴 때부터 나를 괴롭혔으나 나를 이기지 못하였도다 밭 가는 자들이 내 등을 갈아 그 고랑을 길게 지었도다""는 표현이 있는 시편은?
① 시 109편                                  ② 시 119편
③ 시 129편                                  ④ 시 139편
",시,3,,FALSE,,0,
0.668128336,"""여호와께서 낮에는 구름을 펴사 덮개를 삼으시고 밤에는 불로 밝히셨으며 그들이 구한즉 메추라기를 가져 오시고 또 하늘의 양식으로 그들을 만족하게 하셨도다 반석을 여신즉 물이 흘러나와 마른 땅에 강 같이 흘렀으니 이는 그의 거룩한 말씀과 그의 종(     ) 기억하셨음이로다""(시105:39~42)는 말씀에서 괄호 안에 들어가는 말은?
① 아브라함을                                ② 모세를
③ 아론을                                      ④ 다윗을
",시,1,,FALSE,,0,
0.8787785463,"솔로몬이 여호와의 언약궤를 다윗 성에서부터 예루살렘 성전으로 메어 들인 절기의 달은?
  ① 첫째 달                                  ② 둘째 달
  ③ 일곱째 달                               ④ 여덟째 달", 대하,3,,FALSE,,0,
0.7352718288,"아론과 그의 아들들의 제사장 위임식은 몇 일동안 거행되었는가? (출29:35)
 ① 1일                        ② 3일
 ③ 7일                        ④ 5일",출,3,,FALSE,,0,
0.9669162309,"""그러나 여호와께서 그들의 부르짖음을 들으실 때에 그들의 고통을 볼보시며 그들을 위하여 그의 언약을 기억하시고 그 크신 인자하심을 따라 뜻을 돌이키사 그들을 사로잡은 모든 자에게서 긍휼히 여김을 받게 하셨도다""는 표현이 있는 시편은?
① 시 105편                                  ② 시 106편
③ 시 107편                                  ④ 시 108편
",시,2,,FALSE,,0,
0.9548690336,"""사무엘이 돌을 취하여 (  )와 센 사이에 세워 이르되 여호와께서 여기까지 우리를 도우셨다 하고 그 이름을 에벤에셀이라 하니라""(삼상7:12)의 괄호에 들어갈 말은?",삼상,미스바,,FALSE,,0,
0.3846338009,"""너희는 떨며 범죄하지 말지어다 자리에 누워 심중에 말하고 잠잠할지어다 (     )의 제사를 드리고 여호와를 의지할지어다""(시 4:4~5)는 말씀에서 괄호 안에 들어가는 말은?
① 거룩                                ② 찬양
③ 감사                                ④ 의
",시,4,,FALSE,,0,
0.3860710754,"큰 산당이 있던 곳으로 솔로몬이 일천 번제를 드린 곳은?
  ① 브엘세바                           ② 벧엘
  ③ 여리고                              ④ 기브온",왕상,4,,FALSE,,0,
0.285829853,"""네가 낚시로 (  )을 끌어낼 수 있겠느냐 노끈으로 그 혀를 맬 수 있겠느냐""(욥41:1)에서 괄호 안에 들어갈 말은?
  ① 베헤못                                 ② 리워야단
  ③ 라합                                    ④ 타닌",욥,2,,FALSE,,0,
0.08414254717,"""…바벨론 왕이 예루살렘에 이르러 왕과 고관을 사로잡아 바벨론 자기에게로 끌어가고 그 왕족 중에서 하나를 택하여 언약을 세우고…그가 사절을 (  )에 보내 말과 군대를 구함으로 바벨론 왕을 배반하였으니 형통하겠느냐...""(겔17:12-15)의 괄호에 들어갈 말은?
  ① 앗수르                                                        ② 헬라
  ③ 애굽                                                           ④ 아람",겔,3,,FALSE,,0,3
0.5073656954,"""여호와께서 여호수아와 함께 하시니 여호수아의 소문이 그 온 땅에 퍼지니라""라는 여호수아서의 기록은 어느 사건 이후에 언급된 본문인가?
 ① 요단강 도하
 ② 여리고 성 전투
 ③ 아이 성 전투
 ④ 기브온 전투",수,2,,FALSE,,0,3
0.3777908566,"신명기 10장 8절에 기록된 레위 지파의 사명들에 포함되지 않는 것은 무엇인가? 
 ① 여호와의 언약궤를 메게 함
 ② 여호와 앞에 서서 그를 섬김
 ③ 여호와의 이름으로 축복하게 함
 ④ 여호와의 율법을 가르침",신,4,,FALSE,,0,3
0.678022392,"창세기 23장 6절에는 헷 족속이 아브라함을 어떻게 불렀다고 기록되어 있는가?
""내 주여 들으소서 당신은 우리 가운데 있는 (  )이시니 우리 묘실 중에서 좋은 것을 택하여 당신의 죽은 자를 장사하소서…"" (창23:6)",창,하나님이 세우신 지도자,,FALSE,,0,3
0.7263285056,"레위 사람에게 ""거룩한 궤를 이스라엘 왕 다윗의 아들 솔로몬이 건축한 전 가운데 두고 다시는 너희 어깨에 메지 말고 마땅히 너희의 하나님 여호와와 그의 백성 이스라엘을 섬길 것이라""라고 말한 유다의 왕은 누구인가?", 대하,요시야,,FALSE,,0,3
0.2261592575,"솔로몬 왕으로 삼기 위하여 솔로몬에게 기름을 부은 사람은?
  ① 사독, 아비아달                      ② 사독, 나단
  ③ 아비아달, 나단                      ④ 아비아달, 브나야",왕상,2,,FALSE,,0,3
0.9249345661,"""내가 너를 이스라엘의 (  ) 세웠으니 너는 내 입의 말을 듣고 나를 대신하여 그들을 깨우치라""(겔3:17)의 괄호에 들어갈 말은?
  ① 제사장으로                                                 ② 지도자로
  ③ 파수꾼으로                                                 ④ 목자로",겔,3,,FALSE,,0,3
0.7588533613,"바아사가 라마를 건축하던 돌과 재목으로 유다왕 아사가 건축한 곳은?
 ① 게바, 미스바
 ② 미스바, 라마
 ③ 에시온게벨, 라마
 ④ 밀로, 게바",왕상,1,,FALSE,,0,3
0.947333277,"다음 구절은 스가랴에서 몇 장에 나오는가?   ""그날에 죄와 더러움을 씻는 샘이 다윗의 족속과 예루살렘 주민을 위하여 열리리라""
  ① 9장                                              ② 12장 
  ③ 13장                                             ④ 14장",슥,3,,FALSE,,0,3
0.7527087497,"다음 중 왕들의 묘실에 장사되지 못한 왕은?
  ① 여호사밧                         ② 아하스
  ③ 므낫세                            ④ 요시야",대하,2,2,TRUE,,1,3
0.8068625583,"모든 백성이 수문 앞 광장에 모였을 때 학사 에스라에게 여호와께서 이스라엘에게 명령하신 모세의 율법책을 가져오기를 청한 사람(들)은 누구인가?
  ① 느헤미야                              ② 레위인
  ③ 제사장                                 ④ 모든 백성",느,4,4,TRUE,,1,3
0.2075602751,"엘리야가 갈멜산에서 바알의 선지자와 대결할 당시 바알 선지자 수는?
  ① 400명                               ② 450명
  ③ 350명                               ④ 500명",왕상,2,2,TRUE,,1,3
0.08402789614,"""인자야 내가 너를 이스라엘 족속의 (  )(으)로 세웠으니 너는 내 입의 말을 듣고 나를 대신하여 그들을 깨우치라""(겔3:17)에서 괄호에 들어갈 말은 무엇인가? 
  ① 제사장                                                     ② 파수꾼
  ③ 예언자                                                     ④ 교사",겔,2,2,TRUE,,1,3
0.8819822781,"느헤미야에게 예루살렘으로 가서 그 성을 건축하게 한 바사 왕은?
  ① 아닥사스다                        ② 아하수에로
  ③ 다리오                              ④ 고레스",느,1,1,TRUE,,1,
0.3055637385,"한 레위인의 첩을 능욕한 기브아 거민은 어느 지파 사람들인가?
  ① 에브라임                        ② 베냐민
  ③ 유다                              ④ 잇사갈",삿,2,2,TRUE,,1,3
0.7086466533,"""그러므로 너는 이 백성을 위하여 기도하지 말라 그들을 위하여 부르짖거나 구하지 말라 그들이 그 고난으로 말미암아 내게 부르짖을 때에 내가 그들에게서 듣지 아니하리라""와 같이 예언한 사람은?",렘,예레미야,예레미야,TRUE,,1,3
0.4991532645,"""그들의 입술의 말은 곧 그들의 입의 (     )라/이라 그들이 말하는 저주와 거짓말로 말미암아 그들이 그 교만한 중에서 사로잡히게 하소서""(시 59:12)는 말씀에서 괄호 안에 들어가는 말은?
① 열매                                ② 꽃
③ 병                                   ④ 죄
",시,4,4,TRUE,,1,3
0.6158994944,"다윗이 블레셋 지역에 망명하였을 때(삼상27장) 그가 의탁한 왕과 그 왕이 다윗에게 내어준 땅이 바르게 연결된 것은?
 ① 암몬 왕 나하스 - 가불
 ② 가드 왕 아기스 - 가불
 ③ 암몬 왕 나하스 - 시글락
 ④ 가드 왕 아기스 - 시글락",삼상,4,4,TRUE,,1,3
0.2827526833,"""또 철판을 가져다가 너와 성읍 사이에 두어 철벽을 삼고 성을 포위하는 것처럼 에워싸라 이것이 이스라엘 족속에게 (  ) 되리라""(겔4:3)의 괄호에 들어갈 말은?
  ① 재난이                                                  ② 징조가
  ③ 슬픔이                                                  ④ 교훈이",겔,2,2,TRUE,,1,3
0.4482970882,"출애굽과 제 2의 출애굽이라고 할 수 있는 포로귀환의 공통점이 아닌 것은?
 ① 두 번의 '출애굽'은 우연히 이루어진 것이다.
 ② 두 번의 '출애굽'은 모두 목적지가 있었다.
 ③ 두 번의 '출애굽'에서 이스라엘 백성들은 '빈손으로' 나오지 않았다.
 ④ 두 번의 '출애굽'에서 모두 제국의 통치자가 중요한 역할을 한다.",느,1,1,TRUE,,1,3
0.1122836752,"""내가 주께 대하여 (  ) 듣기만 하였사오나 이제는 (  ) 주를 뵈옵나이다""(욥42:5)에서 괄호 안에 차례대로 들어갈 말은?
  ① 귀로, 얼굴로                             ② 말씀으로, 얼굴로
  ③ 말씀으로, 눈으로                        ④ 귀로, 눈으로",욥,4,4,TRUE,,1,3
0.7652392355,"""누구든지 여호와의 이름을 부르는 자는 구원을 얻으리니""라는 하나님의 말씀이 나오는 책은? 
  ① 이사야                                        ② 에스겔
  ③ 요엘                                           ④ 오바댜 ",욜,3,3,TRUE,,1,3
0.5509068077,예레미야에게 처음으로 여호와의 말씀이 임했을 때 유다 왕은 누구였는가?,렘,요시야,요시야,TRUE,,1,3
0.6054189286,"""우리의 영혼이 사냥꾼의 올무에서 벗어난 새같이 되었나니 올무가 끊어지므로 우리가 벗어났도다 우리의 도움은 천지를 지으신 여호와의 이름에 있도다""는 표현으로 마치는 시편은?
① 시 122편                                  ② 시 123편
③ 시 124편                                  ④ 시 125편
",시,3,3,TRUE,,1,3
0.005758318194,"""너 아침의 아들 계명성이여 어찌 그리 하늘에서 떨어졌으며 너 열국을 엎은 자여 어찌 그리 땅에 찍혔는고"" (사 14:12)에서 '너'는 어느 나라의 왕인가?
  ① 앗수르                                      ② 바벨론
  ③ 아람                                         ④ 에돔",사,2,2,TRUE,,1,3
0.4370998681,"""새 노래로 여호와께 찬송하라 그는 기이한 일을 행하사 그의 오른손과 거룩한 팔로 자기를 위하여 구원을 베푸셨음이라 여호와께서 그의 (     ) 알게 하시며 그의 (     )뭇 나라의 목전에서 명백히 나타내셨도다""(시 98:1~2)는 말씀에서 괄호 안에 차례대로 들어가는 말은?
① 인자를, 성실을                                ② 구원을, 공의를
③ 권능을, 위엄을                                ④ 영광을, 이름을
",시,2,2,TRUE,,1,
0.7719115941,"""(  ) 외에는 하나님의 궤를 멜 수 없나니 이는 여호와께서 그들을 택하사 여호와의 궤를 메고 영원히 그를 섬기게 하셨음이니라"" (대상 15:2)의 (  )에 들어갈 말은?",대상,레위 사람,레위 사람,TRUE,,1,3
0.1041201087,"시편에서 '성전에 올라가는 노래'의 범위는?
  ① 시 120~130편                                        ② 시 120~134편
  ③ 시 122~130편                                        ④ 시 1222~134",시,2,2,TRUE,,1,3
0.8569713668,"스가랴가 본 날아가는 두루마리가 뜻하는 것은? (슥 5:3)
  ① 구원의 말씀                                              ② 탄식과 한탄의 말씀
  ③ 꿀같이 단 언약의 말씀                                ④ 온 땅위에 내리는 저주 ",슥,4,4,TRUE,,1,3
0.07196780344,"에스라가 귀환 도중 아하와 강가에서 삼 일 동안 장막에 머물며 백성들을 살필 때 어떤 사람이 한 사람도 없다는 사실을 알게 되었는가?
 ① 제사장
 ② 레위자손
 ③ 느디님 사람
 ④ 하나님의 명령을 떨며 준행하는 자",스,2,2,TRUE,,1,
0.7443046014,"""히스기야 왕 십사 년에 앗수르 왕 (     )이 올라 와서 유다의 모든 견고한 성을 쳐서 취하니라"" (사 36:1)의 괄호 안에 들어가 이름은?
  ① 산헤립                                         ② 살만에셀
  ③ 랍사게                                         ④ 에살핫돈",사,1,1,TRUE,,1,3
0.8562838615,"다음 인물 중에 다윗의 군대 장관은?
  ① 요압                          ② 아브넬
  ③ 사독                          ④ 아비아달",삼하,1,1,TRUE,,1,3
0.02146995415,"여호와의 전 윗문을 건축하고 오벨 성벽을 증축하고, 유다 산중에 성읍들을 건축하며 진영들과 망대를 건축하고, 암몬자손으로부터 은 백 달란트와 밀 만 고르와 보리 만 고를 받은 왕은?
  ① 다윗                           ② 솔로몬
  ③ 요담                           ④ 므낫세",대하,3,3,TRUE,,1,
0.6850982141,"아합 왕의 딸 아달랴를 아내로 맞이한 유다의 왕은?
  ① 여호람                              ② 여호사밧
  ③ 요시야                              ④ 웃시야",왕하,1,1,TRUE,,1,3
0.3384121015,"다음 중 에서 곧 에돔의 족보가 기록되어 있는 장은?
 ① 27장   ② 11장   ③ 36장   ④ 42장
",창,3,3,TRUE,,1,3
